case_id,date,store_id,sku_id,severity,demand_anomaly_score,shrinkage_score,root_cause,agent_action,human_required
CASE00056,2026-01-04,STORE03,SKU069,0.681,0.702,0.663,expired_disposal,Check disposal log before replenishment.,0
CASE00057,2026-01-04,STORE03,SKU093,0.788,0.819,0.49,theft_suspected,"Freeze auto-order, request staff verification, preserve snapshot.",1
CASE00058,2026-01-04,STORE04,SKU020,0.653,0.242,0.99,misplacement,Check planogram slot and re-run vision after shelf correction.,0
CASE00059,2026-01-04,STORE04,SKU030,0.422,0.266,0.55,camera_error,Re-run CV from alternate snapshot and lower confidence.,0
CASE00060,2026-01-04,STORE04,SKU031,0.764,0.493,0.985,misplacement,Check planogram slot and re-run vision after shelf correction.,1
CASE00061,2026-01-04,STORE04,SKU050,0.858,0.948,0.511,theft_suspected,"Freeze auto-order, request staff verification, preserve snapshot.",1
CASE00062,2026-01-04,STORE04,SKU054,0.431,0.424,0.437,camera_error,Re-run CV from alternate snapshot and lower confidence.,0
CASE00063,2026-01-04,STORE04,SKU094,0.806,0.814,0.527,theft_suspected,"Freeze auto-order, request staff verification, preserve snapshot.",1
CASE00064,2026-01-04,STORE05,SKU010,0.508,0.13,0.544,theft_suspected,"Freeze auto-order, request staff verification, preserve snapshot.",1
CASE00065,2026-01-04,STORE05,SKU088,0.492,0.398,0.569,misplacement,Check planogram slot and re-run vision after shelf correction.,0
CASE00066,2026-01-05,STORE01,SKU017,0.757,0.139,0.99,theft_suspected,"Freeze auto-order, request staff verification, preserve snapshot.",1
CASE00067,2026-01-05,STORE01,SKU023,0.691,0.13,0.878,theft_suspected,"Freeze auto-order, request staff verification, preserve snapshot.",1
CASE00068,2026-01-05,STORE01,SKU024,0.952,0.573,0.99,theft_suspected,"Freeze auto-order, request staff verification, preserve snapshot.",1
CASE00069,2026-01-05,STORE01,SKU037,0.574,0.742,0.437,camera_error,Re-run CV from alternate snapshot and lower confidence.,0
CASE00070,2026-01-05,STORE01,SKU039,0.798,0.488,0.779,theft_suspected,"Freeze auto-order, request staff verification, preserve snapshot.",1
CASE00071,2026-01-05,STORE02,SKU096,0.671,0.728,0.352,theft_suspected,"Freeze auto-order, request staff verification, preserve snapshot.",1
CASE00072,2026-01-05,STORE03,SKU001,0.701,0.717,0.688,camera_error,Re-run CV from alternate snapshot and lower confidence.,0
CASE00073,2026-01-05,STORE03,SKU005,0.909,0.751,0.766,theft_suspected,"Freeze auto-order, request staff verification, preserve snapshot.",1
CASE00074,2026-01-05,STORE03,SKU010,0.949,0.69,0.889,theft_suspected,"Freeze auto-order, request staff verification, preserve snapshot.",1
CASE00075,2026-01-05,STORE03,SKU018,0.757,0.139,0.99,theft_suspected,"Freeze auto-order, request staff verification, preserve snapshot.",1
CASE00076,2026-01-05,STORE03,SKU042,0.753,0.876,0.652,misplacement,Check planogram slot and re-run vision after shelf correction.,1
CASE00077,2026-01-05,STORE03,SKU068,0.702,0.267,0.785,theft_suspected,"Freeze auto-order, request staff verification, preserve snapshot.",1
CASE00078,2026-01-05,STORE04,SKU041,0.631,0.227,0.689,theft_suspected,"Freeze auto-order, request staff verification, preserve snapshot.",1
CASE00079,2026-01-05,STORE04,SKU044,0.695,0.557,0.536,theft_suspected,"Freeze auto-order, request staff verification, preserve snapshot.",1
CASE00080,2026-01-05,STORE04,SKU088,0.82,0.929,0.458,theft_suspected,"Freeze auto-order, request staff verification, preserve snapshot.",1
CASE00081,2026-01-05,STORE05,SKU011,0.838,0.948,0.475,theft_suspected,"Freeze auto-order, request staff verification, preserve snapshot.",1
CASE00082,2026-01-05,STORE05,SKU017,0.682,0.826,0.565,misplacement,Check planogram slot and re-run vision after shelf correction.,0
CASE00083,2026-01-05,STORE05,SKU043,0.653,0.809,0.525,misplacement,Check planogram slot and re-run vision after shelf correction.,0
CASE00084,2026-01-06,STORE01,SKU002,0.672,0.668,0.403,theft_suspected,"Freeze auto-order, request staff verification, preserve snapshot.",1
CASE00085,2026-01-06,STORE01,SKU013,0.699,0.715,0.685,misplacement,Check planogram slot and re-run vision after shelf correction.,0
CASE00086,2026-01-06,STORE01,SKU015,0.613,0.313,0.858,misplacement,Check planogram slot and re-run vision after shelf correction.,0
CASE00087,2026-01-06,STORE01,SKU025,0.859,0.365,0.99,theft_suspected,"Freeze auto-order, request staff verification, preserve snapshot.",1
CASE00088,2026-01-06,STORE01,SKU030,0.505,0.594,0.433,camera_error,Re-run CV from alternate snapshot and lower confidence.,0
CASE00089,2026-01-06,STORE01,SKU060,0.653,0.428,0.837,misplacement,Check planogram slot and re-run vision after shelf correction.,0
CASE00090,2026-01-06,STORE02,SKU052,0.852,0.683,0.99,misplacement,Check planogram slot and re-run vision after shelf correction.,1
CASE00091,2026-01-06,STORE03,SKU029,0.796,0.561,0.715,theft_suspected,"Freeze auto-order, request staff verification, preserve snapshot.",1
CASE00092,2026-01-06,STORE03,SKU037,0.856,0.359,0.99,theft_suspected,"Freeze auto-order, request staff verification, preserve snapshot.",1
CASE00093,2026-01-06,STORE03,SKU054,0.666,0.663,0.669,camera_error,Re-run CV from alternate snapshot and lower confidence.,0
CASE00094,2026-01-06,STORE03,SKU069,0.784,0.2,0.99,theft_suspected,"Freeze auto-order, request staff verification, preserve snapshot.",1
CASE00095,2026-01-06,STORE03,SKU085,0.543,0.213,0.54,theft_suspected,"Freeze auto-order, request staff verification, preserve snapshot.",1
CASE00096,2026-01-06,STORE03,SKU091,0.598,0.156,0.959,misplacement,Check planogram slot and re-run vision after shelf correction.,0
CASE00097,2026-01-06,STORE04,SKU022,0.936,0.597,0.941,theft_suspected,"Freeze auto-order, request staff verification, preserve snapshot.",1
CASE00098,2026-01-06,STORE04,SKU024,0.653,0.694,0.619,misplacement,Check planogram slot and re-run vision after shelf correction.,0
CASE00099,2026-01-06,STORE04,SKU031,0.655,0.245,0.99,expired_disposal,Check disposal log before replenishment.,0
CASE00100,2026-01-06,STORE04,SKU037,0.855,0.357,0.99,theft_suspected,"Freeze auto-order, request staff verification, preserve snapshot.",1
CASE00101,2026-01-06,STORE04,SKU040,1.012,0.706,0.99,theft_suspected,"Freeze auto-order, request staff verification, preserve snapshot.",1
CASE00102,2026-01-06,STORE04,SKU042,0.799,0.288,0.944,theft_suspected,"Freeze auto-order, request staff verification, preserve snapshot.",1
CASE00103,2026-01-06,STORE04,SKU075,0.631,0.625,0.636,misplacement,Check planogram slot and re-run vision after shelf correction.,0
CASE00104,2026-01-06,STORE04,SKU096,0.413,0.213,0.577,camera_error,Re-run CV from alternate snapshot and lower confidence.,0
CASE00105,2026-01-06,STORE04,SKU098,0.255,0.143,0.346,camera_error,Re-run CV from alternate snapshot and lower confidence.,0
CASE00106,2026-01-07,STORE01,SKU001,0.69,0.755,0.636,misplacement,Check planogram slot and re-run vision after shelf correction.,0
CASE00107,2026-01-07,STORE01,SKU020,0.851,0.348,0.99,theft_suspected,"Freeze auto-order, request staff verification, preserve snapshot.",1
CASE00108,2026-01-07,STORE02,SKU092,0.796,0.225,0.99,theft_suspected,"Freeze auto-order, request staff verification, preserve snapshot.",1
CASE00109,2026-01-07,STORE03,SKU033,1.037,0.762,0.99,theft_suspected,"Freeze auto-order, request staff verification, preserve snapshot.",1
CASE00110,2026-01-07,STORE03,SKU051,0.721,0.884,0.315,theft_suspected,"Freeze auto-order, request staff verification, preserve snapshot.",1
CASE00111,2026-01-07,STORE04,SKU006,0.6,0.332,0.819,misplacement,Check planogram slot and re-run vision after shelf correction.,0
CASE00112,2026-01-07,STORE04,SKU077,0.617,0.162,0.99,expired_disposal,Check disposal log before replenishment.,0
CASE00113,2026-01-07,STORE04,SKU081,0.932,0.528,0.99,theft_suspected,"Freeze auto-order, request staff verification, preserve snapshot.",1
CASE00114,2026-01-07,STORE04,SKU098,0.537,0.526,0.546,misplacement,Check planogram slot and re-run vision after shelf correction.,0
CASE00115,2026-01-07,STORE05,SKU038,0.662,0.549,0.755,misplacement,Check planogram slot and re-run vision after shelf correction.,0
CASE00116,2026-01-07,STORE05,SKU043,0.909,0.476,0.99,theft_suspected,"Freeze auto-order, request staff verification, preserve snapshot.",1
CASE00117,2026-01-07,STORE05,SKU071,0.399,0.373,0.42,camera_error,Re-run CV from alternate snapshot and lower confidence.,0
CASE00118,2026-01-08,STORE01,SKU040,0.919,0.527,0.967,theft_suspected,"Freeze auto-order, request staff verification, preserve snapshot.",1
CASE00119,2026-01-08,STORE02,SKU033,0.913,0.819,0.99,expired_disposal,Check disposal log before replenishment.,1
CASE00120,2026-01-08,STORE02,SKU080,0.631,0.218,0.696,theft_suspected,"Freeze auto-order, request staff verification, preserve snapshot.",1
CASE00121,2026-01-08,STORE03,SKU030,0.816,0.861,0.779,misplacement,Check planogram slot and re-run vision after shelf correction.,1
CASE00122,2026-01-08,STORE03,SKU040,0.451,0.249,0.617,misplacement,Check planogram slot and re-run vision after shelf correction.,0
CASE00123,2026-01-08,STORE03,SKU050,0.902,0.795,0.99,expired_disposal,Check disposal log before replenishment.,1
CASE00124,2026-01-08,STORE03,SKU057,0.79,0.923,0.681,camera_error,Re-run CV from alternate snapshot and lower confidence.,1
CASE00125,2026-01-08,STORE03,SKU062,0.623,0.807,0.473,expired_disposal,Check disposal log before replenishment.,0
CASE00126,2026-01-08,STORE03,SKU065,0.677,0.626,0.719,misplacement,Check planogram slot and re-run vision after shelf correction.,0
CASE00127,2026-01-08,STORE03,SKU093,0.643,0.628,0.656,misplacement,Check planogram slot and re-run vision after shelf correction.,0
CASE00128,2026-01-08,STORE04,SKU007,1.037,0.762,0.99,theft_suspected,"Freeze auto-order, request staff verification, preserve snapshot.",1
CASE00129,2026-01-08,STORE04,SKU021,0.554,0.618,0.502,camera_error,Re-run CV from alternate snapshot and lower confidence.,0
CASE00130,2026-01-08,STORE04,SKU060,0.716,0.708,0.723,camera_error,Re-run CV from alternate snapshot and lower confidence.,0
CASE00131,2026-01-08,STORE04,SKU069,0.63,0.738,0.542,camera_error,Re-run CV from alternate snapshot and lower confidence.,0
CASE00132,2026-01-08,STORE04,SKU079,0.712,0.245,0.822,theft_suspected,"Freeze auto-order, request staff verification, preserve snapshot.",1
CASE00133,2026-01-08,STORE04,SKU090,0.523,0.168,0.814,misplacement,Check planogram slot and re-run vision after shelf correction.,0
CASE00134,2026-01-08,STORE05,SKU013,0.655,0.446,0.554,theft_suspected,"Freeze auto-order, request staff verification, preserve snapshot.",1
CASE00135,2026-01-08,STORE05,SKU017,0.839,0.655,0.99,expired_disposal,Check disposal log before replenishment.,1
CASE00136,2026-01-08,STORE05,SKU052,0.894,0.8,0.698,theft_suspected,"Freeze auto-order, request staff verification, preserve snapshot.",1
CASE00137,2026-01-08,STORE05,SKU069,0.571,0.806,0.379,misplacement,Check planogram slot and re-run vision after shelf correction.,0
CASE00138,2026-01-09,STORE01,SKU019,1.122,0.949,0.99,theft_suspected,"Freeze auto-order, request staff verification, preserve snapshot.",1
CASE00139,2026-01-09,STORE01,SKU078,0.894,0.861,0.921,camera_error,Re-run CV from alternate snapshot and lower confidence.,1
CASE00140,2026-01-09,STORE02,SKU084,0.39,0.167,0.3,theft_suspected,"Freeze auto-order, request staff verification, preserve snapshot.",1
CASE00141,2026-01-09,STORE02,SKU098,0.622,0.868,0.42,camera_error,Re-run CV from alternate snapshot and lower confidence.,0
CASE00142,2026-01-09,STORE03,SKU006,0.433,0.315,0.53,expired_disposal,Check disposal log before replenishment.,0
CASE00143,2026-01-09,STORE03,SKU008,0.421,0.177,0.348,theft_suspected,"Freeze auto-order, request staff verification, preserve snapshot.",1
CASE00144,2026-01-09,STORE03,SKU025,0.666,0.425,0.591,theft_suspected,"Freeze auto-order, request staff verification, preserve snapshot.",1
CASE00145,2026-01-09,STORE03,SKU045,0.889,0.758,0.723,theft_suspected,"Freeze auto-order, request staff verification, preserve snapshot.",1
CASE00146,2026-01-09,STORE03,SKU067,0.778,0.408,0.808,theft_suspected,"Freeze auto-order, request staff verification, preserve snapshot.",1
CASE00147,2026-01-09,STORE03,SKU084,0.873,0.397,0.99,theft_suspected,"Freeze auto-order, request staff verification, preserve snapshot.",1
CASE00148,2026-01-09,STORE03,SKU100,0.543,0.276,0.489,theft_suspected,"Freeze auto-order, request staff verification, preserve snapshot.",1
CASE00149,2026-01-09,STORE04,SKU016,0.515,0.534,0.5,camera_error,Re-run CV from alternate snapshot and lower confidence.,0
CASE00150,2026-01-09,STORE04,SKU025,0.576,0.216,0.597,theft_suspected,"Freeze auto-order, request staff verification, preserve snapshot.",1
CASE00151,2026-01-09,STORE04,SKU074,0.775,0.708,0.829,camera_error,Re-run CV from alternate snapshot and lower confidence.,1
CASE00152,2026-01-09,STORE05,SKU008,0.618,0.514,0.431,theft_suspected,"Freeze auto-order, request staff verification, preserve snapshot.",1
CASE00153,2026-01-09,STORE05,SKU052,0.37,0.404,0.343,camera_error,Re-run CV from alternate snapshot and lower confidence.,0
CASE00154,2026-01-09,STORE05,SKU065,0.39,0.154,0.311,theft_suspected,"Freeze auto-order, request staff verification, preserve snapshot.",1
CASE00155,2026-01-10,STORE01,SKU007,0.467,0.151,0.726,misplacement,Check planogram slot and re-run vision after shelf correction.,0
CASE00156,2026-01-10,STORE01,SKU021,0.772,0.665,0.587,theft_suspected,"Freeze auto-order, request staff verification, preserve snapshot.",1
CASE00157,2026-01-10,STORE01,SKU024,0.627,0.911,0.394,camera_error,Re-run CV from alternate snapshot and lower confidence.,0
CASE00158,2026-01-10,STORE01,SKU062,0.782,0.838,0.737,misplacement,Check planogram slot and re-run vision after shelf correction.,1
CASE00159,2026-01-10,STORE01,SKU063,0.587,0.421,0.723,misplacement,Check planogram slot and re-run vision after shelf correction.,0
CASE00160,2026-01-10,STORE02,SKU006,0.459,0.295,0.321,theft_suspected,"Freeze auto-order, request staff verification, preserve snapshot.",1
CASE00161,2026-01-10,STORE02,SKU036,0.516,0.282,0.707,misplacement,Check planogram slot and re-run vision after shelf correction.,0
CASE00162,2026-01-10,STORE02,SKU070,0.701,0.357,0.71,theft_suspected,"Freeze auto-order, request staff verification, preserve snapshot.",1
CASE00163,2026-01-10,STORE02,SKU099,0.377,0.268,0.467,misplacement,Check planogram slot and re-run vision after shelf correction.,0
CASE00164,2026-01-10,STORE03,SKU052,0.887,0.59,0.858,theft_suspected,"Freeze auto-order, request staff verification, preserve snapshot.",1
CASE00165,2026-01-10,STORE04,SKU004,0.873,0.693,0.747,theft_suspected,"Freeze auto-order, request staff verification, preserve snapshot.",1
CASE00166,2026-01-10,STORE04,SKU069,0.514,0.243,0.735,expired_disposal,Check disposal log before replenishment.,0
CASE00167,2026-01-10,STORE05,SKU013,0.454,0.103,0.741,expired_disposal,Check disposal log before replenishment.,0
CASE00168,2026-01-10,STORE05,SKU022,0.701,0.348,0.99,misplacement,Check planogram slot and re-run vision after shelf correction.,0
CASE00169,2026-01-10,STORE05,SKU040,0.514,0.367,0.635,misplacement,Check planogram slot and re-run vision after shelf correction.,0
CASE00170,2026-01-10,STORE05,SKU065,0.652,0.109,0.824,theft_suspected,"Freeze auto-order, request staff verification, preserve snapshot.",1
CASE00171,2026-01-10,STORE05,SKU087,0.744,0.11,0.99,theft_suspected,"Freeze auto-order, request staff verification, preserve snapshot.",1
CASE00172,2026-01-11,STORE01,SKU024,0.592,0.864,0.369,camera_error,Re-run CV from alternate snapshot and lower confidence.,0
CASE00173,2026-01-11,STORE01,SKU025,1.049,0.788,0.99,theft_suspected,"Freeze auto-order, request staff verification, preserve snapshot.",1
CASE00174,2026-01-11,STORE01,SKU074,0.76,0.146,0.99,theft_suspected,"Freeze auto-order, request staff verification, preserve snapshot.",1
CASE00175,2026-01-11,STORE01,SKU089,0.695,0.334,0.99,expired_disposal,Check disposal log before replenishment.,0
CASE00176,2026-01-11,STORE02,SKU005,0.647,0.227,0.99,expired_disposal,Check disposal log before replenishment.,0
CASE00177,2026-01-11,STORE02,SKU016,0.622,0.858,0.429,camera_error,Re-run CV from alternate snapshot and lower confidence.,0
CASE00178,2026-01-11,STORE02,SKU067,0.532,0.291,0.456,theft_suspected,"Freeze auto-order, request staff verification, preserve snapshot.",1
CASE00179,2026-01-11,STORE03,SKU019,0.636,0.708,0.305,theft_suspected,"Freeze auto-order, request staff verification, preserve snapshot.",1
CASE00180,2026-01-11,STORE03,SKU024,0.617,0.464,0.742,misplacement,Check planogram slot and re-run vision after shelf correction.,0
CASE00181,2026-01-11,STORE03,SKU025,0.592,0.917,0.326,camera_error,Re-run CV from alternate snapshot and lower confidence.,0
CASE00182,2026-01-11,STORE03,SKU073,0.815,0.34,0.93,theft_suspected,"Freeze auto-order, request staff verification, preserve snapshot.",1
CASE00183,2026-01-11,STORE04,SKU036,0.591,0.429,0.45,theft_suspected,"Freeze auto-order, request staff verification, preserve snapshot.",1
CASE00184,2026-01-11,STORE04,SKU070,0.885,0.756,0.99,misplacement,Check planogram slot and re-run vision after shelf correction.,1
CASE00185,2026-01-11,STORE04,SKU072,0.525,0.124,0.581,theft_suspected,"Freeze auto-order, request staff verification, preserve snapshot.",1
CASE00186,2026-01-11,STORE04,SKU092,0.635,0.4,0.828,misplacement,Check planogram slot and re-run vision after shelf correction.,0
CASE00187,2026-01-11,STORE05,SKU003,0.43,0.537,0.343,camera_error,Re-run CV from alternate snapshot and lower confidence.,0
CASE00188,2026-01-11,STORE05,SKU007,0.983,0.673,0.964,theft_suspected,"Freeze auto-order, request staff verification, preserve snapshot.",1
CASE00189,2026-01-11,STORE05,SKU017,0.469,0.132,0.472,theft_suspected,"Freeze auto-order, request staff verification, preserve snapshot.",1
CASE00190,2026-01-11,STORE05,SKU025,0.596,0.762,0.46,expired_disposal,Check disposal log before replenishment.,0
CASE00191,2026-01-12,STORE01,SKU019,0.971,0.948,0.99,misplacement,Check planogram slot and re-run vision after shelf correction.,1
CASE00192,2026-01-12,STORE01,SKU046,0.71,0.734,0.418,theft_suspected,"Freeze auto-order, request staff verification, preserve snapshot.",1
CASE00193,2026-01-12,STORE01,SKU075,0.579,0.73,0.455,camera_error,Re-run CV from alternate snapshot and lower confidence.,0
CASE00194,2026-01-12,STORE02,SKU065,0.408,0.19,0.587,camera_error,Re-run CV from alternate snapshot and lower confidence.,0
CASE00195,2026-01-12,STORE02,SKU070,0.779,0.668,0.597,theft_suspected,"Freeze auto-order, request staff verification, preserve snapshot.",1
CASE00196,2026-01-12,STORE02,SKU090,0.601,0.803,0.436,misplacement,Check planogram slot and re-run vision after shelf correction.,0
CASE00197,2026-01-12,STORE03,SKU053,0.482,0.597,0.388,camera_error,Re-run CV from alternate snapshot and lower confidence.,0
CASE00198,2026-01-12,STORE03,SKU089,0.774,0.485,0.737,theft_suspected,"Freeze auto-order, request staff verification, preserve snapshot.",1
CASE00199,2026-01-12,STORE04,SKU039,0.669,0.762,0.321,theft_suspected,"Freeze auto-order, request staff verification, preserve snapshot.",1
CASE00200,2026-01-12,STORE04,SKU067,0.343,0.187,0.471,misplacement,Check planogram slot and re-run vision after shelf correction.,0
CASE00201,2026-01-12,STORE04,SKU072,0.389,0.251,0.502,misplacement,Check planogram slot and re-run vision after shelf correction.,0
CASE00202,2026-01-12,STORE05,SKU002,0.845,0.668,0.99,misplacement,Check planogram slot and re-run vision after shelf correction.,1
CASE00203,2026-01-12,STORE05,SKU019,0.572,0.4,0.712,camera_error,Re-run CV from alternate snapshot and lower confidence.,0
CASE00204,2026-01-12,STORE05,SKU038,0.875,0.901,0.581,theft_suspected,"Freeze auto-order, request staff verification, preserve snapshot.",1
CASE00205,2026-01-12,STORE05,SKU056,0.423,0.367,0.469,camera_error,Re-run CV from alternate snapshot and lower confidence.,0
CASE00206,2026-01-12,STORE05,SKU064,0.747,0.45,0.99,misplacement,Check planogram slot and re-run vision after shelf correction.,1
CASE00207,2026-01-12,STORE05,SKU068,0.772,0.172,0.99,theft_suspected,"Freeze auto-order, request staff verification, preserve snapshot.",1
CASE00208,2026-01-12,STORE05,SKU069,0.957,0.894,0.736,theft_suspected,"Freeze auto-order, request staff verification, preserve snapshot.",1
CASE00209,2026-01-12,STORE05,SKU071,0.663,0.516,0.511,theft_suspected,"Freeze auto-order, request staff verification, preserve snapshot.",1
CASE00210,2026-01-13,STORE01,SKU050,0.545,0.676,0.438,camera_error,Re-run CV from alternate snapshot and lower confidence.,0
CASE00211,2026-01-13,STORE01,SKU061,0.709,0.717,0.702,camera_error,Re-run CV from alternate snapshot and lower confidence.,0
CASE00212,2026-01-13,STORE01,SKU097,0.508,0.108,0.562,theft_suspected,"Freeze auto-order, request staff verification, preserve snapshot.",1
CASE00213,2026-01-13,STORE02,SKU036,0.599,0.728,0.493,misplacement,Check planogram slot and re-run vision after shelf correction.,0
