sku_id,sku_name,category,unit_price,shelf_life_days,slot_id,reference_image_url,openfoodfacts_hint
SKU029,비타500,drink,2400,365,SLOT029,https://example.com/reference/SKU029.jpg,비타500
SKU030,포카리스웨트,drink,1300,90,SLOT030,https://example.com/reference/SKU030.jpg,포카리스웨트
SKU031,토레타,drink,1500,365,SLOT031,https://example.com/reference/SKU031.jpg,토레타
SKU032,핫식스,drink,1900,90,SLOT032,https://example.com/reference/SKU032.jpg,핫식스
SKU033,데자와,drink,2400,90,SLOT033,https://example.com/reference/SKU033.jpg,데자와
SKU034,옥수수수염차,drink,2800,365,SLOT034,https://example.com/reference/SKU034.jpg,옥수수수염차
SKU035,환타,drink,1200,90,SLOT035,https://example.com/reference/SKU035.jpg,환타
SKU036,게토레이,drink,1000,180,SLOT036,https://example.com/reference/SKU036.jpg,게토레이
SKU037,밀키스,drink,3100,90,SLOT037,https://example.com/reference/SKU037.jpg,밀키스
SKU038,칸타타,drink,1100,180,SLOT038,https://example.com/reference/SKU038.jpg,칸타타
SKU039,레쓰비,drink,2100,365,SLOT039,https://example.com/reference/SKU039.jpg,레쓰비
SKU040,생수 2L,drink,1900,90,SLOT040,https://example.com/reference/SKU040.jpg,생수+2L
SKU041,신라면,ramen,1900,180,SLOT041,https://example.com/reference/SKU041.jpg,신라면
SKU042,진라면,ramen,1400,365,SLOT042,https://example.com/reference/SKU042.jpg,진라면
SKU043,불닭볶음면,ramen,1500,365,SLOT043,https://example.com/reference/SKU043.jpg,불닭볶음면
SKU044,컵라면,ramen,1700,90,SLOT044,https://example.com/reference/SKU044.jpg,컵라면
SKU045,너구리,ramen,2300,365,SLOT045,https://example.com/reference/SKU045.jpg,너구리
SKU046,짜파게티,ramen,2000,365,SLOT046,https://example.com/reference/SKU046.jpg,짜파게티
SKU047,육개장사발면,ramen,1700,180,SLOT047,https://example.com/reference/SKU047.jpg,육개장사발면
SKU048,참깨라면,ramen,1800,365,SLOT048,https://example.com/reference/SKU048.jpg,참깨라면
SKU049,왕뚜껑,ramen,2300,180,SLOT049,https://example.com/reference/SKU049.jpg,왕뚜껑
SKU050,튀김우동,ramen,1000,90,SLOT050,https://example.com/reference/SKU050.jpg,튀김우동
SKU051,새우탕,ramen,1800,180,SLOT051,https://example.com/reference/SKU051.jpg,새우탕
SKU052,김치사발면,ramen,1900,90,SLOT052,https://example.com/reference/SKU052.jpg,김치사발면
SKU053,비빔면,ramen,1400,180,SLOT053,https://example.com/reference/SKU053.jpg,비빔면
SKU054,열라면,ramen,1500,90,SLOT054,https://example.com/reference/SKU054.jpg,열라면
SKU055,안성탕면,ramen,1000,90,SLOT055,https://example.com/reference/SKU055.jpg,안성탕면
SKU056,김밥,fresh,5700,7,SLOT056,https://example.com/reference/SKU056.jpg,김밥
SKU057,샌드위치,fresh,4600,2,SLOT057,https://example.com/reference/SKU057.jpg,샌드위치
SKU058,도시락,fresh,3500,30,SLOT058,https://example.com/reference/SKU058.jpg,도시락
SKU059,삼각김밥 참치,fresh,4800,30,SLOT059,https://example.com/reference/SKU059.jpg,삼각김밥+참치
SKU060,삼각김밥 전주비빔,fresh,4300,2,SLOT060,https://example.com/reference/SKU060.jpg,삼각김밥+전주비빔
SKU061,햄버거,fresh,5600,90,SLOT061,https://example.com/reference/SKU061.jpg,햄버거
SKU062,샐러드,fresh,4900,2,SLOT062,https://example.com/reference/SKU062.jpg,샐러드
SKU063,핫바,fresh,5500,2,SLOT063,https://example.com/reference/SKU063.jpg,핫바
SKU064,소시지,fresh,3300,180,SLOT064,https://example.com/reference/SKU064.jpg,소시지
SKU065,계란,fresh,6200,180,SLOT065,https://example.com/reference/SKU065.jpg,계란
SKU066,바나나,fresh,2800,180,SLOT066,https://example.com/reference/SKU066.jpg,바나나
SKU067,훈제란,fresh,4300,180,SLOT067,https://example.com/reference/SKU067.jpg,훈제란
SKU068,치킨랩,fresh,4700,90,SLOT068,https://example.com/reference/SKU068.jpg,치킨랩
SKU069,닭가슴살,fresh,3500,14,SLOT069,https://example.com/reference/SKU069.jpg,닭가슴살
SKU070,컵과일,fresh,5400,2,SLOT070,https://example.com/reference/SKU070.jpg,컵과일
SKU071,초코우유,dairy,3000,3,SLOT071,https://example.com/reference/SKU071.jpg,초코우유
SKU072,바나나우유,dairy,2600,180,SLOT072,https://example.com/reference/SKU072.jpg,바나나우유
SKU073,흰우유,dairy,2500,7,SLOT073,https://example.com/reference/SKU073.jpg,흰우유
SKU074,딸기우유,dairy,3100,5,SLOT074,https://example.com/reference/SKU074.jpg,딸기우유
SKU075,요구르트,dairy,2500,7,SLOT075,https://example.com/reference/SKU075.jpg,요구르트
SKU076,그릭요거트,dairy,2400,2,SLOT076,https://example.com/reference/SKU076.jpg,그릭요거트
SKU077,치즈,dairy,2100,30,SLOT077,https://example.com/reference/SKU077.jpg,치즈
SKU078,커피우유,dairy,2800,14,SLOT078,https://example.com/reference/SKU078.jpg,커피우유
SKU079,두유,dairy,3200,3,SLOT079,https://example.com/reference/SKU079.jpg,두유
SKU080,프로틴음료,dairy,1500,14,SLOT080,https://example.com/reference/SKU080.jpg,프로틴음료
SKU081,햇반,instant,5000,5,SLOT081,https://example.com/reference/SKU081.jpg,햇반
SKU082,즉석카레,instant,3800,7,SLOT082,https://example.com/reference/SKU082.jpg,즉석카레
SKU083,참치캔,instant,5700,180,SLOT083,https://example.com/reference/SKU083.jpg,참치캔
SKU084,스팸,instant,2700,14,SLOT084,https://example.com/reference/SKU084.jpg,스팸
SKU085,죽,instant,4100,14,SLOT085,https://example.com/reference/SKU085.jpg,죽
SKU086,컵밥,instant,5200,180,SLOT086,https://example.com/reference/SKU086.jpg,컵밥
SKU087,냉동만두,instant,3600,180,SLOT087,https://example.com/reference/SKU087.jpg,냉동만두
SKU088,냉동피자,instant,6600,5,SLOT088,https://example.com/reference/SKU088.jpg,냉동피자
SKU089,떡볶이컵,instant,6800,180,SLOT089,https://example.com/reference/SKU089.jpg,떡볶이컵
SKU090,부대찌개컵,instant,2900,90,SLOT090,https://example.com/reference/SKU090.jpg,부대찌개컵
SKU091,휴지,daily,8300,180,SLOT091,https://example.com/reference/SKU091.jpg,휴지
SKU092,물티슈,daily,8600,365,SLOT092,https://example.com/reference/SKU092.jpg,물티슈
SKU093,마스크,daily,2900,180,SLOT093,https://example.com/reference/SKU093.jpg,마스크
SKU094,건전지,daily,3100,90,SLOT094,https://example.com/reference/SKU094.jpg,건전지
SKU095,치약,daily,4300,365,SLOT095,https://example.com/reference/SKU095.jpg,치약
SKU096,칫솔,daily,2700,180,SLOT096,https://example.com/reference/SKU096.jpg,칫솔
SKU097,샴푸,daily,1500,90,SLOT097,https://example.com/reference/SKU097.jpg,샴푸
SKU098,핸드크림,daily,7400,180,SLOT098,https://example.com/reference/SKU098.jpg,핸드크림
SKU099,밴드,daily,7800,365,SLOT099,https://example.com/reference/SKU099.jpg,밴드
SKU100,우산,daily,8600,90,SLOT100,https://example.com/reference/SKU100.jpg,우산
