order_id,date,sku_id,supplier_id,ordered_qty,status,reason
OR00000033,2023-02-02,10060,SUP001,96,requires_review,Harness routed for safety review.
OR00000034,2023-03-01,10060,SUP001,96,executed,Harness approved.
OR00000035,2023-04-23,10060,SUP001,96,blocked,Harness routed for safety review.
OR00000036,2023-05-22,10060,SUP001,96,blocked,Harness routed for safety review.
OR00000037,2023-06-20,10060,SUP001,96,executed,Harness approved.
OR00000038,2023-07-14,10060,SUP001,96,executed,Harness approved.
OR00000039,2023-08-02,10060,SUP001,96,executed,Harness approved.
OR00000040,2023-08-17,10060,SUP001,96,blocked,Harness routed for safety review.
OR00000041,2023-09-07,10060,SUP001,96,executed,Harness approved.
OR00000042,2023-09-29,10060,SUP001,96,blocked,Harness routed for safety review.
OR00000043,2023-10-14,10060,SUP001,96,executed,Harness approved.
OR00000044,2023-11-04,10060,SUP001,96,blocked,Harness routed for safety review.
OR00000045,2023-11-25,10060,SUP001,96,executed,Harness approved.
OR00000046,2023-12-20,10060,SUP001,96,executed,Harness approved.
OR00000047,2024-01-13,10060,SUP001,96,requires_review,Harness routed for safety review.
OR00000048,2024-02-10,10060,SUP001,96,executed,Harness approved.
OR00000049,2024-03-09,10060,SUP001,96,requires_review,Harness routed for safety review.
OR00000050,2024-04-20,10060,SUP001,96,requires_review,Harness routed for safety review.
OR00000051,2024-05-15,10060,SUP001,96,blocked,Harness routed for safety review.
OR00000052,2024-06-12,10060,SUP001,96,requires_review,Harness routed for safety review.
OR00000053,2024-07-18,10060,SUP001,96,executed,Harness approved.
OR00000054,2024-08-11,10060,SUP001,96,executed,Harness approved.
OR00000055,2024-09-07,10060,SUP001,96,requires_review,Harness routed for safety review.
OR00000056,2024-10-04,10060,SUP001,96,executed,Harness approved.
OR00000057,2024-11-01,10060,SUP001,96,executed,Harness approved.
OR00000058,2024-11-30,10060,SUP001,96,blocked,Harness routed for safety review.
OR00000059,2025-01-03,10060,SUP001,96,requires_review,Harness routed for safety review.
OR00000060,2025-02-03,10060,SUP001,96,blocked,Harness routed for safety review.
OR00000061,2025-03-07,10060,SUP001,96,blocked,Harness routed for safety review.
OR00000062,2025-04-12,10060,SUP001,96,executed,Harness approved.
OR00000063,2025-05-12,10060,SUP001,96,requires_review,Harness routed for safety review.
OR00000064,2025-06-19,10060,SUP001,96,blocked,Harness routed for safety review.
OR00000065,2025-07-26,10060,SUP001,96,requires_review,Harness routed for safety review.
OR00000066,2025-08-23,10060,SUP001,96,executed,Harness approved.
OR00000067,2025-09-21,10060,SUP001,96,executed,Harness approved.
OR00000068,2025-10-18,10060,SUP001,96,requires_review,Harness routed for safety review.
OR00000069,2025-11-15,10060,SUP001,96,executed,Harness approved.
OR00000070,2025-12-19,10060,SUP001,96,executed,Harness approved.
OR00000071,2026-01-17,10060,SUP001,96,executed,Harness approved.
OR00000072,2026-02-16,10060,SUP001,96,executed,Harness approved.
OR00000073,2026-03-15,10060,SUP001,96,requires_review,Harness routed for safety review.
OR00000074,2026-04-16,10060,SUP001,96,executed,Harness approved.
OR00000075,2026-05-17,10060,SUP001,96,blocked,Harness routed for safety review.
OR00000076,2021-03-08,10091,SUP001,110,executed,Harness approved.
OR00000077,2021-05-11,10091,SUP001,110,executed,Harness approved.
OR00000078,2021-06-09,10091,SUP001,110,blocked,Harness routed for safety review.
OR00000079,2021-07-03,10091,SUP001,110,executed,Harness approved.
OR00000080,2021-07-16,10091,SUP001,110,executed,Harness approved.
OR00000081,2021-08-04,10091,SUP001,110,blocked,Harness routed for safety review.
OR00000082,2021-08-20,10091,SUP001,110,executed,Harness approved.
OR00000083,2021-09-18,10091,SUP001,110,executed,Harness approved.
OR00000084,2021-10-07,10091,SUP001,110,requires_review,Harness routed for safety review.
OR00000085,2021-10-26,10091,SUP001,110,executed,Harness approved.
OR00000086,2021-11-18,10091,SUP001,110,blocked,Harness routed for safety review.
OR00000087,2021-12-11,10091,SUP001,110,executed,Harness approved.
OR00000088,2022-01-04,10091,SUP001,110,executed,Harness approved.
OR00000089,2022-01-21,10091,SUP001,110,executed,Harness approved.
OR00000090,2022-02-09,10091,SUP001,110,requires_review,Harness routed for safety review.
OR00000091,2022-02-26,10091,SUP001,110,requires_review,Harness routed for safety review.
OR00000092,2022-04-08,10091,SUP001,110,requires_review,Harness routed for safety review.
OR00000093,2022-04-28,10091,SUP001,110,executed,Harness approved.
OR00000094,2022-05-19,10091,SUP001,110,requires_review,Harness routed for safety review.
OR00000095,2022-06-10,10091,SUP001,110,blocked,Harness routed for safety review.
OR00000096,2022-06-30,10091,SUP001,110,blocked,Harness routed for safety review.
OR00000097,2022-07-19,10091,SUP001,110,requires_review,Harness routed for safety review.
OR00000098,2022-08-06,10091,SUP001,110,blocked,Harness routed for safety review.
OR00000099,2022-08-24,10091,SUP001,110,executed,Harness approved.
OR00000100,2022-09-10,10091,SUP001,110,executed,Harness approved.
OR00000101,2022-09-30,10091,SUP001,110,executed,Harness approved.
OR00000102,2022-10-15,10091,SUP001,110,executed,Harness approved.
OR00000103,2022-11-05,10091,SUP001,110,executed,Harness approved.
OR00000104,2022-11-30,10091,SUP001,110,blocked,Harness routed for safety review.
OR00000105,2022-12-29,10091,SUP001,110,requires_review,Harness routed for safety review.
OR00000106,2023-01-28,10091,SUP001,110,executed,Harness approved.
OR00000107,2023-03-02,10091,SUP001,110,executed,Harness approved.
OR00000108,2023-04-25,10091,SUP001,110,executed,Harness approved.
OR00000109,2023-05-19,10091,SUP001,110,executed,Harness approved.
OR00000110,2023-06-10,10091,SUP001,110,executed,Harness approved.
OR00000111,2023-07-02,10091,SUP001,110,executed,Harness approved.
OR00000112,2023-07-19,10091,SUP001,110,requires_review,Harness routed for safety review.
OR00000113,2023-08-05,10091,SUP001,110,executed,Harness approved.
OR00000114,2023-08-19,10091,SUP001,110,executed,Harness approved.
OR00000115,2023-09-07,10091,SUP001,110,executed,Harness approved.
OR00000116,2023-09-23,10091,SUP001,110,executed,Harness approved.
OR00000117,2023-10-10,10091,SUP001,110,requires_review,Harness routed for safety review.
OR00000118,2023-10-31,10091,SUP001,110,executed,Harness approved.
OR00000119,2023-11-19,10091,SUP001,110,executed,Harness approved.
OR00000120,2023-12-14,10091,SUP001,110,executed,Harness approved.
OR00000121,2024-01-10,10091,SUP001,110,blocked,Harness routed for safety review.
OR00000122,2024-02-09,10091,SUP001,110,executed,Harness approved.
OR00000123,2024-03-08,10091,SUP001,110,executed,Harness approved.
OR00000124,2024-04-19,10091,SUP001,110,blocked,Harness routed for safety review.
OR00000125,2024-05-14,10091,SUP001,110,executed,Harness approved.
OR00000126,2024-06-09,10091,SUP001,110,requires_review,Harness routed for safety review.
OR00000127,2024-07-04,10091,SUP001,110,executed,Harness approved.
OR00000128,2024-08-01,10091,SUP001,110,executed,Harness approved.
OR00000129,2024-08-21,10091,SUP001,110,executed,Harness approved.
OR00000130,2024-09-12,10091,SUP001,110,blocked,Harness routed for safety review.
OR00000131,2024-10-11,10091,SUP001,110,executed,Harness approved.
OR00000132,2024-11-09,10091,SUP001,110,requires_review,Harness routed for safety review.
OR00000133,2024-12-06,10091,SUP001,110,executed,Harness approved.
OR00000134,2025-01-05,10091,SUP001,110,executed,Harness approved.
OR00000135,2025-02-02,10091,SUP001,110,requires_review,Harness routed for safety review.
OR00000136,2025-02-28,10091,SUP001,110,executed,Harness approved.
OR00000137,2025-04-03,10091,SUP001,110,blocked,Harness routed for safety review.
OR00000138,2025-05-03,10091,SUP001,110,executed,Harness approved.
OR00000139,2025-06-07,10091,SUP001,110,executed,Harness approved.
OR00000140,2025-07-15,10091,SUP001,110,requires_review,Harness routed for safety review.
OR00000141,2025-08-15,10091,SUP001,110,executed,Harness approved.
OR00000142,2025-09-13,10091,SUP001,110,executed,Harness approved.
OR00000143,2025-10-10,10091,SUP001,110,executed,Harness approved.
OR00000144,2025-11-10,10091,SUP001,110,blocked,Harness routed for safety review.
OR00000145,2025-12-15,10091,SUP001,110,blocked,Harness routed for safety review.
OR00000146,2026-01-22,10091,SUP001,110,requires_review,Harness routed for safety review.
OR00000147,2026-02-26,10091,SUP001,110,blocked,Harness routed for safety review.
OR00000148,2026-03-31,10091,SUP001,110,executed,Harness approved.
OR00000149,2026-04-27,10091,SUP001,110,requires_review,Harness routed for safety review.
OR00000150,2026-05-22,10091,SUP001,110,executed,Harness approved.
OR00000151,2021-10-01,10092,SUP003,336,requires_review,Harness routed for safety review.
OR00000152,2021-10-16,10092,SUP003,336,executed,Harness approved.
OR00000153,2021-10-27,10092,SUP003,336,blocked,Harness routed for safety review.
OR00000154,2021-11-07,10092,SUP003,336,executed,Harness approved.
OR00000155,2021-11-19,10092,SUP003,336,executed,Harness approved.
OR00000156,2021-12-01,10092,SUP003,336,executed,Harness approved.
OR00000157,2021-12-16,10092,SUP003,336,executed,Harness approved.
OR00000158,2021-12-28,10092,SUP003,336,executed,Harness approved.
OR00000159,2022-01-13,10092,SUP003,336,executed,Harness approved.
OR00000160,2022-01-30,10092,SUP003,336,executed,Harness approved.
OR00000161,2022-02-18,10092,SUP003,336,executed,Harness approved.
OR00000162,2022-03-10,10092,SUP003,336,executed,Harness approved.
OR00000163,2022-04-06,10092,SUP003,336,executed,Harness approved.
OR00000164,2022-04-28,10092,SUP003,336,requires_review,Harness routed for safety review.
OR00000165,2022-05-20,10092,SUP003,336,blocked,Harness routed for safety review.
OR00000166,2022-06-11,10092,SUP003,336,requires_review,Harness routed for safety review.
OR00000167,2022-07-04,10092,SUP003,336,executed,Harness approved.
OR00000168,2022-07-22,10092,SUP003,336,requires_review,Harness routed for safety review.
OR00000169,2022-08-09,10092,SUP003,336,executed,Harness approved.
OR00000170,2022-08-23,10092,SUP003,336,executed,Harness approved.
OR00000171,2022-09-06,10092,SUP003,336,executed,Harness approved.
OR00000172,2022-09-23,10092,SUP003,336,requires_review,Harness routed for safety review.
OR00000173,2022-10-12,10092,SUP003,336,executed,Harness approved.
OR00000174,2022-11-01,10092,SUP003,336,executed,Harness approved.
OR00000175,2022-11-16,10092,SUP003,336,requires_review,Harness routed for safety review.
OR00000176,2022-11-30,10092,SUP003,336,executed,Harness approved.
OR00000177,2022-12-14,10092,SUP003,336,blocked,Harness routed for safety review.
OR00000178,2022-12-24,10092,SUP003,336,requires_review,Harness routed for safety review.
OR00000179,2023-01-12,10092,SUP003,336,executed,Harness approved.
OR00000180,2023-02-08,10092,SUP003,336,executed,Harness approved.
OR00000181,2023-03-02,10092,SUP003,336,executed,Harness approved.
OR00000182,2023-03-24,10092,SUP003,336,executed,Harness approved.
OR00000183,2023-04-08,10092,SUP003,336,blocked,Harness routed for safety review.
OR00000184,2023-05-01,10092,SUP003,336,executed,Harness approved.
OR00000185,2023-05-20,10092,SUP003,336,blocked,Harness routed for safety review.
OR00000186,2023-06-10,10092,SUP003,336,executed,Harness approved.
OR00000187,2023-06-30,10092,SUP003,336,blocked,Harness routed for safety review.
OR00000188,2023-07-18,10092,SUP003,336,executed,Harness approved.
OR00000189,2023-08-05,10092,SUP003,336,executed,Harness approved.
OR00000190,2023-08-23,10092,SUP003,336,executed,Harness approved.
OR00000191,2023-09-01,10092,SUP003,336,blocked,Harness routed for safety review.
OR00000192,2023-09-08,10092,SUP003,336,executed,Harness approved.
OR00000193,2023-09-17,10092,SUP003,336,executed,Harness approved.
OR00000194,2023-09-26,10092,SUP003,336,executed,Harness approved.
OR00000195,2023-10-05,10092,SUP003,336,executed,Harness approved.
OR00000196,2023-10-25,10092,SUP003,336,blocked,Harness routed for safety review.
OR00000197,2023-12-02,10092,SUP003,336,blocked,Harness routed for safety review.
OR00000198,2023-12-31,10092,SUP003,336,blocked,Harness routed for safety review.
OR00000199,2024-01-22,10092,SUP003,336,executed,Harness approved.
OR00000200,2024-03-16,10092,SUP003,336,executed,Harness approved.
OR00000201,2024-04-12,10092,SUP003,336,requires_review,Harness routed for safety review.
OR00000202,2024-05-04,10092,SUP003,336,requires_review,Harness routed for safety review.
OR00000203,2024-06-24,10092,SUP003,336,blocked,Harness routed for safety review.
OR00000204,2024-07-14,10092,SUP003,336,executed,Harness approved.
OR00000205,2024-08-06,10092,SUP003,336,executed,Harness approved.
OR00000206,2024-08-29,10092,SUP003,336,blocked,Harness routed for safety review.
OR00000207,2024-09-19,10092,SUP003,336,executed,Harness approved.
OR00000208,2024-10-06,10092,SUP003,336,executed,Harness approved.
OR00000209,2024-10-25,10092,SUP003,336,executed,Harness approved.
OR00000210,2024-11-14,10092,SUP003,336,requires_review,Harness routed for safety review.
OR00000211,2025-01-06,10092,SUP003,336,executed,Harness approved.
OR00000212,2025-01-29,10092,SUP003,336,executed,Harness approved.
OR00000213,2025-03-15,10092,SUP003,336,executed,Harness approved.
OR00000214,2025-04-11,10092,SUP003,336,executed,Harness approved.
OR00000215,2025-05-06,10092,SUP003,336,executed,Harness approved.
OR00000216,2025-06-28,10092,SUP003,336,executed,Harness approved.
OR00000217,2025-07-21,10092,SUP003,336,executed,Harness approved.
OR00000218,2025-08-18,10092,SUP003,336,executed,Harness approved.
OR00000219,2025-09-14,10092,SUP003,336,executed,Harness approved.
OR00000220,2025-10-12,10092,SUP003,336,requires_review,Harness routed for safety review.
OR00000221,2025-11-11,10092,SUP003,336,executed,Harness approved.
OR00000222,2026-01-09,10092,SUP003,336,executed,Harness approved.
OR00000223,2026-02-14,10092,SUP003,336,requires_review,Harness routed for safety review.
OR00000224,2026-03-18,10092,SUP003,336,blocked,Harness routed for safety review.
OR00000225,2026-04-18,10092,SUP003,336,executed,Harness approved.
OR00000226,2026-05-17,10092,SUP003,336,executed,Harness approved.
OR00000227,2022-02-22,10093,SUP001,176,requires_review,Harness routed for safety review.
OR00000228,2022-03-09,10093,SUP001,176,executed,Harness approved.
OR00000229,2022-03-25,10093,SUP001,176,blocked,Harness routed for safety review.
OR00000230,2022-04-09,10093,SUP001,176,blocked,Harness routed for safety review.
OR00000231,2022-04-23,10093,SUP001,176,executed,Harness approved.
OR00000232,2022-05-06,10093,SUP001,176,requires_review,Harness routed for safety review.
OR00000233,2022-05-18,10093,SUP001,176,requires_review,Harness routed for safety review.
OR00000234,2022-06-08,10093,SUP001,176,executed,Harness approved.
OR00000235,2022-06-19,10093,SUP001,176,executed,Harness approved.
OR00000236,2022-07-04,10093,SUP001,176,requires_review,Harness routed for safety review.
OR00000237,2022-07-15,10093,SUP001,176,blocked,Harness routed for safety review.
OR00000238,2022-07-27,10093,SUP001,176,executed,Harness approved.
OR00000239,2022-08-08,10093,SUP001,176,blocked,Harness routed for safety review.
OR00000240,2022-08-18,10093,SUP001,176,requires_review,Harness routed for safety review.
OR00000241,2022-08-29,10093,SUP001,176,executed,Harness approved.
OR00000242,2022-09-07,10093,SUP001,176,blocked,Harness routed for safety review.
OR00000243,2022-09-20,10093,SUP001,176,requires_review,Harness routed for safety review.
OR00000244,2022-10-03,10093,SUP001,176,executed,Harness approved.
OR00000245,2023-02-10,10093,SUP001,176,blocked,Harness routed for safety review.
OR00000246,2023-02-25,10093,SUP001,176,requires_review,Harness routed for safety review.
OR00000247,2023-03-13,10093,SUP001,176,executed,Harness approved.
OR00000248,2023-03-26,10093,SUP001,176,executed,Harness approved.
OR00000249,2023-04-13,10093,SUP001,176,executed,Harness approved.
OR00000250,2023-04-28,10093,SUP001,176,blocked,Harness routed for safety review.
OR00000251,2023-05-11,10093,SUP001,176,executed,Harness approved.
OR00000252,2023-05-24,10093,SUP001,176,executed,Harness approved.
OR00000253,2023-06-07,10093,SUP001,176,executed,Harness approved.
OR00000254,2023-06-23,10093,SUP001,176,executed,Harness approved.
OR00000255,2023-07-03,10093,SUP001,176,executed,Harness approved.
OR00000256,2023-07-18,10093,SUP001,176,executed,Harness approved.
OR00000257,2023-08-07,10093,SUP001,176,blocked,Harness routed for safety review.
OR00000258,2023-08-21,10093,SUP001,176,executed,Harness approved.
OR00000259,2023-09-02,10093,SUP001,176,requires_review,Harness routed for safety review.
OR00000260,2023-10-03,10093,SUP001,176,requires_review,Harness routed for safety review.
OR00000261,2023-12-07,10093,SUP001,176,executed,Harness approved.
OR00000262,2024-01-05,10093,SUP001,176,blocked,Harness routed for safety review.
OR00000263,2024-02-02,10093,SUP001,176,requires_review,Harness routed for safety review.
OR00000264,2024-03-21,10093,SUP001,176,executed,Harness approved.
OR00000265,2024-05-08,10093,SUP001,176,executed,Harness approved.
OR00000266,2024-07-06,10093,SUP001,176,requires_review,Harness routed for safety review.
OR00000267,2024-07-25,10093,SUP001,176,executed,Harness approved.
OR00000268,2024-08-12,10093,SUP001,176,blocked,Harness routed for safety review.
OR00000269,2024-08-30,10093,SUP001,176,requires_review,Harness routed for safety review.
OR00000270,2024-09-17,10093,SUP001,176,executed,Harness approved.
OR00000271,2024-10-06,10093,SUP001,176,executed,Harness approved.
OR00000272,2024-10-25,10093,SUP001,176,executed,Harness approved.
OR00000273,2024-12-10,10093,SUP001,176,executed,Harness approved.
OR00000274,2025-01-03,10093,SUP001,176,executed,Harness approved.
OR00000275,2025-01-22,10093,SUP001,176,executed,Harness approved.
OR00000276,2025-02-09,10093,SUP001,176,blocked,Harness routed for safety review.
OR00000277,2025-02-28,10093,SUP001,176,blocked,Harness routed for safety review.
OR00000278,2025-03-28,10093,SUP001,176,blocked,Harness routed for safety review.
OR00000279,2025-04-29,10093,SUP001,176,executed,Harness approved.
OR00000280,2025-05-16,10093,SUP001,176,requires_review,Harness routed for safety review.
OR00000281,2025-06-02,10093,SUP001,176,executed,Harness approved.
OR00000282,2025-06-18,10093,SUP001,176,executed,Harness approved.
OR00000283,2025-07-03,10093,SUP001,176,executed,Harness approved.
OR00000284,2025-07-23,10093,SUP001,176,executed,Harness approved.
OR00000285,2025-08-07,10093,SUP001,176,executed,Harness approved.
OR00000286,2025-08-22,10093,SUP001,176,blocked,Harness routed for safety review.
OR00000287,2025-09-05,10093,SUP001,176,executed,Harness approved.
OR00000288,2025-09-20,10093,SUP001,176,requires_review,Harness routed for safety review.
OR00000289,2025-10-07,10093,SUP001,176,requires_review,Harness routed for safety review.
OR00000290,2025-11-04,10093,SUP001,176,blocked,Harness routed for safety review.
OR00000291,2025-12-24,10093,SUP001,176,requires_review,Harness routed for safety review.
OR00000292,2026-01-15,10093,SUP001,176,blocked,Harness routed for safety review.
OR00000293,2026-02-09,10093,SUP001,176,blocked,Harness routed for safety review.
OR00000294,2026-03-13,10093,SUP001,176,requires_review,Harness routed for safety review.
OR00000295,2026-04-02,10093,SUP001,176,blocked,Harness routed for safety review.
OR00000296,2026-04-26,10093,SUP001,176,blocked,Harness routed for safety review.
OR00000297,2026-05-17,10093,SUP001,176,requires_review,Harness routed for safety review.
OR00000298,2021-03-20,10094,SUP001,200,executed,Harness approved.
OR00000299,2021-04-30,10094,SUP001,200,blocked,Harness routed for safety review.
OR00000300,2021-06-06,10094,SUP001,200,executed,Harness approved.
OR00000301,2021-07-02,10094,SUP001,200,executed,Harness approved.
OR00000302,2021-07-26,10094,SUP001,200,blocked,Harness routed for safety review.
OR00000303,2021-08-21,10094,SUP001,200,executed,Harness approved.
OR00000304,2021-09-22,10094,SUP001,200,executed,Harness approved.
OR00000305,2021-10-24,10094,SUP001,200,executed,Harness approved.
OR00000306,2021-11-25,10094,SUP001,200,blocked,Harness routed for safety review.
OR00000307,2021-12-23,10094,SUP001,200,executed,Harness approved.
OR00000308,2022-02-07,10094,SUP001,200,executed,Harness approved.
OR00000309,2022-03-17,10094,SUP001,200,executed,Harness approved.
OR00000310,2022-04-16,10094,SUP001,200,blocked,Harness routed for safety review.
OR00000311,2022-05-09,10094,SUP001,200,blocked,Harness routed for safety review.
OR00000312,2022-06-02,10094,SUP001,200,executed,Harness approved.
OR00000313,2022-06-26,10094,SUP001,200,executed,Harness approved.
OR00000314,2022-07-19,10094,SUP001,200,executed,Harness approved.
OR00000315,2022-08-11,10094,SUP001,200,executed,Harness approved.
OR00000316,2022-08-28,10094,SUP001,200,blocked,Harness routed for safety review.
OR00000317,2022-09-19,10094,SUP001,200,executed,Harness approved.
OR00000318,2022-10-12,10094,SUP001,200,blocked,Harness routed for safety review.
OR00000319,2022-11-04,10094,SUP001,200,executed,Harness approved.
OR00000320,2022-11-30,10094,SUP001,200,requires_review,Harness routed for safety review.
OR00000321,2022-12-23,10094,SUP001,200,executed,Harness approved.
OR00000322,2023-01-25,10094,SUP001,200,requires_review,Harness routed for safety review.
OR00000323,2023-02-24,10094,SUP001,200,executed,Harness approved.
OR00000324,2023-03-26,10094,SUP001,200,requires_review,Harness routed for safety review.
OR00000325,2023-04-23,10094,SUP001,200,executed,Harness approved.
OR00000326,2023-05-19,10094,SUP001,200,executed,Harness approved.
OR00000327,2023-06-13,10094,SUP001,200,executed,Harness approved.
OR00000328,2023-06-30,10094,SUP001,200,executed,Harness approved.
OR00000329,2023-07-15,10094,SUP001,200,executed,Harness approved.
OR00000330,2023-08-02,10094,SUP001,200,executed,Harness approved.
OR00000331,2023-08-17,10094,SUP001,200,requires_review,Harness routed for safety review.
OR00000332,2023-08-31,10094,SUP001,200,executed,Harness approved.
OR00000333,2023-09-16,10094,SUP001,200,executed,Harness approved.
OR00000334,2023-10-09,10094,SUP001,200,executed,Harness approved.
OR00000335,2023-11-01,10094,SUP001,200,executed,Harness approved.
OR00000336,2023-11-24,10094,SUP001,200,blocked,Harness routed for safety review.
OR00000337,2023-12-18,10094,SUP001,200,executed,Harness approved.
OR00000338,2024-01-11,10094,SUP001,200,executed,Harness approved.
OR00000339,2024-02-12,10094,SUP001,200,executed,Harness approved.
OR00000340,2024-03-14,10094,SUP001,200,executed,Harness approved.
OR00000341,2024-04-09,10094,SUP001,200,requires_review,Harness routed for safety review.
OR00000342,2024-05-04,10094,SUP001,200,executed,Harness approved.
OR00000343,2024-05-29,10094,SUP001,200,executed,Harness approved.
OR00000344,2024-06-20,10094,SUP001,200,executed,Harness approved.
OR00000345,2024-07-12,10094,SUP001,200,executed,Harness approved.
OR00000346,2024-07-31,10094,SUP001,200,executed,Harness approved.
OR00000347,2024-08-16,10094,SUP001,200,executed,Harness approved.
OR00000348,2024-09-02,10094,SUP001,200,requires_review,Harness routed for safety review.
OR00000349,2024-09-22,10094,SUP001,200,executed,Harness approved.
OR00000350,2024-10-11,10094,SUP001,200,executed,Harness approved.
OR00000351,2024-11-03,10094,SUP001,200,executed,Harness approved.
OR00000352,2024-11-26,10094,SUP001,200,executed,Harness approved.
OR00000353,2024-12-19,10094,SUP001,200,executed,Harness approved.
OR00000354,2025-01-14,10094,SUP001,200,executed,Harness approved.
OR00000355,2025-02-12,10094,SUP001,200,requires_review,Harness routed for safety review.
OR00000356,2025-03-09,10094,SUP001,200,blocked,Harness routed for safety review.
OR00000357,2025-04-02,10094,SUP001,200,requires_review,Harness routed for safety review.
OR00000358,2025-04-26,10094,SUP001,200,requires_review,Harness routed for safety review.
OR00000359,2025-05-22,10094,SUP001,200,executed,Harness approved.
OR00000360,2025-06-14,10094,SUP001,200,executed,Harness approved.
OR00000361,2025-07-05,10094,SUP001,200,requires_review,Harness routed for safety review.
OR00000362,2025-07-26,10094,SUP001,200,blocked,Harness routed for safety review.
OR00000363,2025-08-15,10094,SUP001,200,executed,Harness approved.
OR00000364,2025-09-06,10094,SUP001,200,executed,Harness approved.
OR00000365,2025-09-27,10094,SUP001,200,blocked,Harness routed for safety review.
OR00000366,2025-10-25,10094,SUP001,200,blocked,Harness routed for safety review.
OR00000367,2025-11-25,10094,SUP001,200,executed,Harness approved.
OR00000368,2025-12-21,10094,SUP001,200,executed,Harness approved.
OR00000369,2026-01-26,10094,SUP001,200,executed,Harness approved.
OR00000370,2026-02-25,10094,SUP001,200,blocked,Harness routed for safety review.
OR00000371,2026-03-26,10094,SUP001,200,executed,Harness approved.
OR00000372,2026-04-22,10094,SUP001,200,executed,Harness approved.
OR00000373,2026-05-17,10094,SUP001,200,executed,Harness approved.
OR00000374,2023-08-18,10095,SUP001,80,executed,Harness approved.
OR00000375,2023-08-29,10095,SUP001,80,blocked,Harness routed for safety review.
OR00000376,2023-09-08,10095,SUP001,80,executed,Harness approved.
OR00000377,2023-09-21,10095,SUP001,80,executed,Harness approved.
OR00000378,2023-10-06,10095,SUP001,80,executed,Harness approved.
OR00000379,2023-10-19,10095,SUP001,80,requires_review,Harness routed for safety review.
OR00000380,2023-11-02,10095,SUP001,80,blocked,Harness routed for safety review.
OR00000381,2023-11-09,10095,SUP001,80,executed,Harness approved.
OR00000382,2023-11-18,10095,SUP001,80,blocked,Harness routed for safety review.
OR00000383,2023-11-29,10095,SUP001,80,blocked,Harness routed for safety review.
OR00000384,2023-12-06,10095,SUP001,80,executed,Harness approved.
OR00000385,2023-12-12,10095,SUP001,80,executed,Harness approved.
OR00000386,2023-12-19,10095,SUP001,80,executed,Harness approved.
OR00000387,2023-12-29,10095,SUP001,80,blocked,Harness routed for safety review.
OR00000388,2024-01-12,10095,SUP001,80,executed,Harness approved.
OR00000389,2024-01-26,10095,SUP001,80,executed,Harness approved.
OR00000390,2024-02-07,10095,SUP001,80,blocked,Harness routed for safety review.
OR00000391,2024-02-19,10095,SUP001,80,executed,Harness approved.
OR00000392,2024-03-12,10095,SUP001,80,requires_review,Harness routed for safety review.
OR00000393,2024-03-30,10095,SUP001,80,executed,Harness approved.
OR00000394,2024-04-15,10095,SUP001,80,blocked,Harness routed for safety review.
OR00000395,2024-04-29,10095,SUP001,80,executed,Harness approved.
OR00000396,2024-05-14,10095,SUP001,80,executed,Harness approved.
